,productId,productName,priceSale,priceOriginal,imageLink,productLink,company,gender
0,975561,Calvin Klein Omuz Çantası,579.00 TL,614.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639327_200_01.jpg,https://www.boyner.com.tr/calvin-klein-omuz-cantasi-975561-1005,BOYNER,KadÄ±n
1,879839,Laura Ashley Siyah El Çantası,130.49 TL,434.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002456614_001_01.jpg,https://www.boyner.com.tr/laura-ashley-el-cantasi-879839-1005,BOYNER,KadÄ±n
2,975808,Fabrika Taba Tote Çanta,469.95 TL,499.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002591112_211_01.jpg,https://www.boyner.com.tr/fabrika-tote-canta-975808-1005,BOYNER,KadÄ±n
3,967457,Beymen Essential Siyah Omuz Çantası,489.30 TL,744.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002618253_001_01.jpg,https://www.boyner.com.tr/beymen-omuz-cantasi-967457-1005,BOYNER,KadÄ±n
4,975510,Calvin Klein Omuz Çantası,519.00 TL,554.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639247_001_01.jpg,https://www.boyner.com.tr/calvin-klein-omuz-cantasi-975510-1005,BOYNER,KadÄ±n
5,897406,Beymen Kumaş Cüzdan,279.99 TL,599.99 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002455726_001_02.jpg,https://www.boyner.com.tr/beymen-cuzdan-897406-1005,BOYNER,KadÄ±n
6,975545,Calvin Klein El Çantası,389.00 TL,414.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639303_001_01.jpg,https://www.boyner.com.tr/calvin-klein-el-cantasi-975545-1005,BOYNER,KadÄ±n
7,975532,Calvin Klein Omuz Çantası,389.00 TL,414.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002639288_001_01.jpg,https://www.boyner.com.tr/calvin-klein-omuz-cantasi-975532-1005,BOYNER,KadÄ±n
8,975439,Tommy Hilfiger Omuz Çantası,649.00 TL,689.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002638784_411_01.jpg,https://www.boyner.com.tr/tommy-hilfiger-omuz-cantasi-975439-1005,BOYNER,KadÄ±n
9,879836,Laura Ashley Siyah El Çantası,130.49 TL,434.95 TL,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002456608_001_01.jpg,https://www.boyner.com.tr/laura-ashley-el-cantasi-879836-1005,BOYNER,KadÄ±n
